last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Tatis Jr., Fernando,665487,2020,117,72,.317,.311,.006,.731,.689,.042,.453,.442,.011
Fletcher, David,664058,2020,116,91,.304,.283,.021,.461,.357,.104,.352,.320,.032
Semien, Marcus,543760,2020,115,79,.222,.191,.031,.352,.329,.023,.266,.249,.017
Machado, Manny,592518,2020,114,76,.222,.285,-.063,.455,.507,-.052,.317,.366,-.049
Nimmo, Brandon,607043,2020,114,66,.261,.285,-.024,.489,.488,.001,.395,.410,-.015
Yastrzemski, Mike,573262,2020,114,70,.319,.254,.065,.660,.512,.148,.444,.378,.066
Conforto, Michael,624424,2020,113,67,.312,.283,.029,.495,.499,-.004,.400,.392,.008
Grisham, Trent,663757,2020,112,65,.250,.265,-.015,.446,.527,-.081,.356,.392,-.036
Alonso, Pete,624413,2020,112,62,.247,.232,.015,.441,.437,.004,.344,.342,.002
Crawford, J.P.,641487,2020,110,77,.234,.275,-.041,.287,.398,-.111,.283,.352,-.069
Bellinger, Cody,641355,2020,110,82,.178,.259,-.081,.347,.451,-.104,.246,.324,-.078
Olson, Matt,621566,2020,109,64,.165,.254,-.089,.429,.527,-.098,.312,.385,-.073
Muncy, Max,571970,2020,109,63,.176,.224,-.048,.396,.512,-.116,.301,.363,-.062
Story, Trevor,596115,2020,108,79,.299,.302,-.003,.588,.608,-.020,.393,.405,-.012
Turner, Justin,457759,2020,108,76,.287,.306,-.019,.436,.591,-.155,.347,.411,-.064
Altuve, Jose,514888,2020,108,77,.180,.223,-.043,.290,.326,-.036,.233,.271,-.038
Betts, Mookie,605141,2020,108,83,.306,.293,.013,.653,.561,.092,.417,.387,.030
Lewis, Kyle,641786,2020,108,68,.351,.283,.068,.521,.488,.033,.402,.367,.035
Chapman, Matt,656305,2020,108,68,.238,.255,-.017,.525,.549,-.024,.326,.349,-.023
Bregman, Alex,608324,2020,107,77,.272,.284,-.012,.500,.448,.052,.366,.362,.004
Ramirez, Jose,608070,2020,107,72,.256,.266,-.010,.500,.499,.001,.363,.373,-.010
Abreu, Jose,547989,2020,107,76,.277,.267,.010,.485,.496,-.011,.336,.342,-.006
Alberto, Hanser,593643,2020,107,87,.324,.261,.063,.500,.371,.129,.353,.286,.067
Gurriel, Yuli,493329,2020,106,83,.298,.285,.013,.553,.475,.078,.382,.355,.027
Seager, Kyle,572122,2020,106,81,.303,.304,-.001,.528,.537,-.009,.383,.400,-.017
Lindor, Francisco,596019,2020,106,76,.227,.248,-.021,.402,.397,.005,.293,.307,-.014
Merrifield, Whit,593160,2020,106,82,.302,.270,.032,.510,.433,.077,.365,.329,.036
Canha, Mark,592192,2020,105,58,.274,.249,.025,.452,.488,-.036,.367,.372,-.005
Hernandez, Cesar,514917,2020,105,67,.267,.239,.028,.356,.329,.027,.321,.307,.014
Ozuna, Marcell,542303,2020,105,60,.261,.269,-.008,.489,.500,-.011,.357,.371,-.014
Swanson, Dansby,621020,2020,105,69,.303,.296,.007,.465,.484,-.019,.342,.350,-.008
Santander, Anthony,623993,2020,104,85,.299,.315,-.016,.701,.602,.099,.419,.398,.021
Marte, Ketel,606466,2020,104,87,.337,.311,.026,.429,.462,-.033,.333,.346,-.013
Santana, Carlos,467793,2020,103,58,.197,.261,-.064,.342,.470,-.128,.345,.407,-.062
Soler, Jorge,624585,2020,103,55,.253,.260,-.007,.462,.540,-.078,.334,.366,-.032
Freeman, Freddie,518692,2020,103,70,.287,.325,-.038,.529,.594,-.065,.387,.429,-.042
Moncada, Yoan,660162,2020,103,63,.272,.229,.043,.478,.456,.022,.344,.324,.020
Blackmon, Charlie,453568,2020,103,81,.426,.354,.072,.617,.566,.051,.450,.406,.044
Polanco, Jorge,593871,2020,102,85,.284,.292,-.008,.358,.434,-.076,.298,.333,-.035
Rizzo, Anthony,519203,2020,101,60,.231,.267,-.036,.449,.413,.036,.374,.381,-.007
Cruz, Nelson,443558,2020,101,63,.337,.297,.040,.652,.614,.038,.437,.413,.024
Davis, J.D.,605204,2020,100,58,.284,.282,.002,.457,.507,-.050,.372,.393,-.021
Marte, Starling,516782,2020,100,73,.349,.284,.065,.488,.478,.010,.391,.366,.025
Diaz, Yandy,650490,2020,99,69,.268,.242,.026,.293,.302,-.009,.315,.315,.000
Calhoun, Kole,594777,2020,99,65,.239,.277,-.038,.534,.577,-.043,.355,.391,-.036
